"Step","bc-coldstart-v2 - loss","bc-coldstart-v2 - loss__MIN","bc-coldstart-v2 - loss__MAX"
"0","1.20866060256958","1.20866060256958","1.20866060256958"
"50","1.1501959562301636","1.1501959562301636","1.1501959562301636"
"100","1.1284836530685425","1.1284836530685425","1.1284836530685425"
"150","1.1131768226623535","1.1131768226623535","1.1131768226623535"
"200","1.079411268234253","1.079411268234253","1.079411268234253"
"250","0.9621631503105164","0.9621631503105164","0.9621631503105164"
"300","0.7898772954940796","0.7898772954940796","0.7898772954940796"
"350","0.6166979670524597","0.6166979670524597","0.6166979670524597"
"400","0.4623063802719116","0.4623063802719116","0.4623063802719116"
"450","0.3673572540283203","0.3673572540283203","0.3673572540283203"
"500","0.3044840395450592","0.3044840395450592","0.3044840395450592"
"550","0.27124664187431335","0.27124664187431335","0.27124664187431335"
"600","0.24215085804462433","0.24215085804462433","0.24215085804462433"
"650","0.23529469966888428","0.23529469966888428","0.23529469966888428"
"700","0.22269821166992188","0.22269821166992188","0.22269821166992188"
"750","0.22031527757644653","0.22031527757644653","0.22031527757644653"
"800","0.21234214305877686","0.21234214305877686","0.21234214305877686"
"850","0.2024793028831482","0.2024793028831482","0.2024793028831482"
"900","0.19819876551628113","0.19819876551628113","0.19819876551628113"
"950","0.18981117010116577","0.18981117010116577","0.18981117010116577"
"1000","0.19387568533420563","0.19387568533420563","0.19387568533420563"
"1050","0.19176189601421356","0.19176189601421356","0.19176189601421356"
"1100","0.17879672348499298","0.17879672348499298","0.17879672348499298"
"1150","0.17795448005199432","0.17795448005199432","0.17795448005199432"
"1200","0.18142321705818176","0.18142321705818176","0.18142321705818176"
"1250","0.16792693734169006","0.16792693734169006","0.16792693734169006"
"1300","0.16472885012626648","0.16472885012626648","0.16472885012626648"
"1350","0.16360770165920258","0.16360770165920258","0.16360770165920258"
"1400","0.166615292429924","0.166615292429924","0.166615292429924"
"1450","0.16374018788337708","0.16374018788337708","0.16374018788337708"
"1500","0.15916574001312256","0.15916574001312256","0.15916574001312256"
"1550","0.15600141882896423","0.15600141882896423","0.15600141882896423"
"1600","0.15831173956394196","0.15831173956394196","0.15831173956394196"
"1650","0.1531103104352951","0.1531103104352951","0.1531103104352951"
"1700","0.14829182624816895","0.14829182624816895","0.14829182624816895"
"1750","0.14797446131706238","0.14797446131706238","0.14797446131706238"
"1800","0.14712248742580414","0.14712248742580414","0.14712248742580414"
"1850","0.14610299468040466","0.14610299468040466","0.14610299468040466"
"1900","0.14389446377754211","0.14389446377754211","0.14389446377754211"
"1950","0.14422708749771118","0.14422708749771118","0.14422708749771118"
"2000","0.1428612470626831","0.1428612470626831","0.1428612470626831"
"2050","0.1420494168996811","0.1420494168996811","0.1420494168996811"
"2100","0.14108650386333466","0.14108650386333466","0.14108650386333466"
"2150","0.13555070757865906","0.13555070757865906","0.13555070757865906"
"2200","0.13532981276512146","0.13532981276512146","0.13532981276512146"
"2250","0.13076815009117126","0.13076815009117126","0.13076815009117126"
"2300","0.12900137901306152","0.12900137901306152","0.12900137901306152"
"2350","0.1317645013332367","0.1317645013332367","0.1317645013332367"
"2400","0.13071656227111816","0.13071656227111816","0.13071656227111816"
"2450","0.12900188565254211","0.12900188565254211","0.12900188565254211"
"2500","0.13008126616477966","0.13008126616477966","0.13008126616477966"
"2550","0.12829537689685822","0.12829537689685822","0.12829537689685822"
"2600","0.13002538681030273","0.13002538681030273","0.13002538681030273"
"2650","0.12840536236763","0.12840536236763","0.12840536236763"
"2700","0.12667571008205414","0.12667571008205414","0.12667571008205414"
"2750","0.1250082403421402","0.1250082403421402","0.1250082403421402"
"2800","0.12451843917369843","0.12451843917369843","0.12451843917369843"
"2850","0.12396533787250519","0.12396533787250519","0.12396533787250519"
"2900","0.1262791007757187","0.1262791007757187","0.1262791007757187"
"2950","0.11997189372777939","0.11997189372777939","0.11997189372777939"
"3000","0.12324504554271698","0.12324504554271698","0.12324504554271698"
"3050","0.12177588045597076","0.12177588045597076","0.12177588045597076"
"3100","0.1191379502415657","0.1191379502415657","0.1191379502415657"
"3150","0.12409857660531998","0.12409857660531998","0.12409857660531998"
"3200","0.12012447416782379","0.12012447416782379","0.12012447416782379"
"3250","0.11983158439397812","0.11983158439397812","0.11983158439397812"
"3300","0.11992039531469345","0.11992039531469345","0.11992039531469345"
"3350","0.12020856887102127","0.12020856887102127","0.12020856887102127"
"3400","0.11809436231851578","0.11809436231851578","0.11809436231851578"
"3450","0.12030374258756638","0.12030374258756638","0.12030374258756638"
"3500","0.11752603203058243","0.11752603203058243","0.11752603203058243"
"3550","0.11273193359375","0.11273193359375","0.11273193359375"
"3600","0.11832044273614883","0.11832044273614883","0.11832044273614883"
"3650","0.1188826933503151","0.1188826933503151","0.1188826933503151"
"3700","0.11698602139949799","0.11698602139949799","0.11698602139949799"
"3750","0.11509709805250168","0.11509709805250168","0.11509709805250168"
"3800","0.11384044587612152","0.11384044587612152","0.11384044587612152"
"3850","0.11737827211618423","0.11737827211618423","0.11737827211618423"
"3900","0.11463956534862518","0.11463956534862518","0.11463956534862518"
"3950","0.11374164372682571","0.11374164372682571","0.11374164372682571"
"4000","0.11152788251638412","0.11152788251638412","0.11152788251638412"
"4050","0.11267274618148804","0.11267274618148804","0.11267274618148804"
"4100","0.11230439692735672","0.11230439692735672","0.11230439692735672"
"4150","0.11508653312921524","0.11508653312921524","0.11508653312921524"
"4200","0.11455187201499939","0.11455187201499939","0.11455187201499939"
"4250","0.11589156836271286","0.11589156836271286","0.11589156836271286"
"4300","0.11114701628684998","0.11114701628684998","0.11114701628684998"
"4350","0.11041427403688431","0.11041427403688431","0.11041427403688431"
"4400","0.11065490543842316","0.11065490543842316","0.11065490543842316"
"4450","0.11088785529136658","0.11088785529136658","0.11088785529136658"
"4500","0.1128968670964241","0.1128968670964241","0.1128968670964241"
"4550","0.10918155312538147","0.10918155312538147","0.10918155312538147"
"4600","0.11289121210575104","0.11289121210575104","0.11289121210575104"
"4650","0.1080002561211586","0.1080002561211586","0.1080002561211586"
"4700","0.10936343669891357","0.10936343669891357","0.10936343669891357"
"4750","0.10480931401252747","0.10480931401252747","0.10480931401252747"
"4800","0.10999701917171478","0.10999701917171478","0.10999701917171478"
"4850","0.10917360335588455","0.10917360335588455","0.10917360335588455"
"4900","0.10972564667463303","0.10972564667463303","0.10972564667463303"
"4950","0.10679145902395248","0.10679145902395248","0.10679145902395248"
"5000","0.10800724476575851","0.10800724476575851","0.10800724476575851"
"5050","0.10786186903715134","0.10786186903715134","0.10786186903715134"
"5100","0.10819306969642639","0.10819306969642639","0.10819306969642639"
"5150","0.10741857439279556","0.10741857439279556","0.10741857439279556"
"5200","0.10621889680624008","0.10621889680624008","0.10621889680624008"
"5250","0.10518268495798111","0.10518268495798111","0.10518268495798111"
"5300","0.10639320313930511","0.10639320313930511","0.10639320313930511"
"5350","0.10844957083463669","0.10844957083463669","0.10844957083463669"
"5400","0.1083003580570221","0.1083003580570221","0.1083003580570221"
"5450","0.10856934636831284","0.10856934636831284","0.10856934636831284"
"5500","0.10483640432357788","0.10483640432357788","0.10483640432357788"
"5550","0.10661207139492035","0.10661207139492035","0.10661207139492035"
"5600","0.10866659879684448","0.10866659879684448","0.10866659879684448"
"5650","0.10321913659572601","0.10321913659572601","0.10321913659572601"
"5700","0.1031448021531105","0.1031448021531105","0.1031448021531105"
"5750","0.10690585523843765","0.10690585523843765","0.10690585523843765"
"5800","0.10128249228000641","0.10128249228000641","0.10128249228000641"
"5850","0.10656026750802994","0.10656026750802994","0.10656026750802994"
"5900","0.10483760386705399","0.10483760386705399","0.10483760386705399"
"5950","0.10047773271799088","0.10047773271799088","0.10047773271799088"
"6000","0.10273505747318268","0.10273505747318268","0.10273505747318268"
"6050","0.10645917803049088","0.10645917803049088","0.10645917803049088"
"6100","0.1054554358124733","0.1054554358124733","0.1054554358124733"
"6150","0.10430104285478592","0.10430104285478592","0.10430104285478592"
"6200","0.10137709975242615","0.10137709975242615","0.10137709975242615"
"6250","0.10428653657436371","0.10428653657436371","0.10428653657436371"
"6300","0.10199735313653946","0.10199735313653946","0.10199735313653946"
"6350","0.1026846170425415","0.1026846170425415","0.1026846170425415"
"6400","0.10503825545310974","0.10503825545310974","0.10503825545310974"
"6450","0.103145070374012","0.103145070374012","0.103145070374012"
"6500","0.0973110944032669","0.0973110944032669","0.0973110944032669"
"6550","0.1021120622754097","0.1021120622754097","0.1021120622754097"
"6600","0.10204418003559113","0.10204418003559113","0.10204418003559113"
"6650","0.09659961611032486","0.09659961611032486","0.09659961611032486"
"6700","0.1021028384566307","0.1021028384566307","0.1021028384566307"
"6750","0.10066742449998856","0.10066742449998856","0.10066742449998856"
"6800","0.10380712151527405","0.10380712151527405","0.10380712151527405"
"6850","0.10053665935993195","0.10053665935993195","0.10053665935993195"
"6900","0.10184226930141449","0.10184226930141449","0.10184226930141449"
"6950","0.10646802932024002","0.10646802932024002","0.10646802932024002"
"7000","0.105757936835289","0.105757936835289","0.105757936835289"
"7050","0.09930349141359329","0.09930349141359329","0.09930349141359329"
"7100","0.10231166332960129","0.10231166332960129","0.10231166332960129"
"7150","0.1031402200460434","0.1031402200460434","0.1031402200460434"
"7200","0.10066245496273041","0.10066245496273041","0.10066245496273041"
"7250","0.09674518555402756","0.09674518555402756","0.09674518555402756"
"7300","0.09909649938344955","0.09909649938344955","0.09909649938344955"
"7350","0.10122745484113693","0.10122745484113693","0.10122745484113693"
"7400","0.10123797506093979","0.10123797506093979","0.10123797506093979"
"7450","0.0992586687207222","0.0992586687207222","0.0992586687207222"
"7500","0.09958573430776596","0.09958573430776596","0.09958573430776596"
"7550","0.09851742535829544","0.09851742535829544","0.09851742535829544"
"7600","0.09698174893856049","0.09698174893856049","0.09698174893856049"
"7650","0.09825733304023743","0.09825733304023743","0.09825733304023743"
"7700","0.0970676988363266","0.0970676988363266","0.0970676988363266"
"7750","0.09461761265993118","0.09461761265993118","0.09461761265993118"
"7800","0.09640888124704361","0.09640888124704361","0.09640888124704361"
"7850","0.09449680149555206","0.09449680149555206","0.09449680149555206"
"7900","0.0948648601770401","0.0948648601770401","0.0948648601770401"
"7950","0.09555687755346298","0.09555687755346298","0.09555687755346298"
"8000","0.09496484696865082","0.09496484696865082","0.09496484696865082"
"8050","0.09717990458011627","0.09717990458011627","0.09717990458011627"
"8100","0.09472592920064926","0.09472592920064926","0.09472592920064926"
"8150","0.09523109346628189","0.09523109346628189","0.09523109346628189"
"8200","0.09559202939271927","0.09559202939271927","0.09559202939271927"
"8250","0.09086620062589645","0.09086620062589645","0.09086620062589645"
"8300","0.09505532681941986","0.09505532681941986","0.09505532681941986"
"8350","0.09644590318202972","0.09644590318202972","0.09644590318202972"
"8400","0.09409783780574799","0.09409783780574799","0.09409783780574799"
"8450","0.09534591436386108","0.09534591436386108","0.09534591436386108"
"8500","0.09534447640180588","0.09534447640180588","0.09534447640180588"
"8550","0.09432894736528397","0.09432894736528397","0.09432894736528397"
"8600","0.09633275866508484","0.09633275866508484","0.09633275866508484"
"8650","0.09099256247282028","0.09099256247282028","0.09099256247282028"
"8700","0.09509342908859253","0.09509342908859253","0.09509342908859253"
"8750","0.0956743136048317","0.0956743136048317","0.0956743136048317"
"8800","0.09454064816236496","0.09454064816236496","0.09454064816236496"
"8850","0.0927901640534401","0.0927901640534401","0.0927901640534401"
"8900","0.09504550695419312","0.09504550695419312","0.09504550695419312"
"8950","0.09559226781129837","0.09559226781129837","0.09559226781129837"
"9000","0.09183047711849213","0.09183047711849213","0.09183047711849213"
"9050","0.09175413101911545","0.09175413101911545","0.09175413101911545"
"9100","0.0947398915886879","0.0947398915886879","0.0947398915886879"
"9150","0.0940055325627327","0.0940055325627327","0.0940055325627327"
"9200","0.09553662687540054","0.09553662687540054","0.09553662687540054"
"9250","0.09282411634922028","0.09282411634922028","0.09282411634922028"
"9300","0.09061170369386673","0.09061170369386673","0.09061170369386673"
"9350","0.08897556364536285","0.08897556364536285","0.08897556364536285"
"9400","0.0917280912399292","0.0917280912399292","0.0917280912399292"
"9450","0.08882097899913788","0.08882097899913788","0.08882097899913788"
"9500","0.09018097072839737","0.09018097072839737","0.09018097072839737"
"9550","0.08950988203287125","0.08950988203287125","0.08950988203287125"
"9600","0.089593805372715","0.089593805372715","0.089593805372715"
"9650","0.09061740338802338","0.09061740338802338","0.09061740338802338"
"9700","0.08887418359518051","0.08887418359518051","0.08887418359518051"
"9750","0.0898035392165184","0.0898035392165184","0.0898035392165184"
"9800","0.09054622799158096","0.09054622799158096","0.09054622799158096"
"9850","0.0918007418513298","0.0918007418513298","0.0918007418513298"
"9900","0.0899428129196167","0.0899428129196167","0.0899428129196167"
"9950","0.09058123081922531","0.09058123081922531","0.09058123081922531"
"10000","0.08782237768173218","0.08782237768173218","0.08782237768173218"
"10050","0.08988391607999802","0.08988391607999802","0.08988391607999802"
"10100","0.08858399093151093","0.08858399093151093","0.08858399093151093"
"10150","0.08689004927873611","0.08689004927873611","0.08689004927873611"
"10200","0.08834193646907806","0.08834193646907806","0.08834193646907806"
"10250","0.08818546682596207","0.08818546682596207","0.08818546682596207"
"10300","0.09047223627567291","0.09047223627567291","0.09047223627567291"
"10350","0.09020253270864487","0.09020253270864487","0.09020253270864487"
"10400","0.08941268920898438","0.08941268920898438","0.08941268920898438"
"10450","0.08988751471042633","0.08988751471042633","0.08988751471042633"
"10500","0.08389010280370712","0.08389010280370712","0.08389010280370712"
"10550","0.08858271688222885","0.08858271688222885","0.08858271688222885"
"10600","0.08866005390882492","0.08866005390882492","0.08866005390882492"
"10650","0.08752197027206421","0.08752197027206421","0.08752197027206421"
"10700","0.08727284520864487","0.08727284520864487","0.08727284520864487"
"10750","0.08796744793653488","0.08796744793653488","0.08796744793653488"
"10800","0.08890864998102188","0.08890864998102188","0.08890864998102188"
"10850","0.08719146251678467","0.08719146251678467","0.08719146251678467"
"10900","0.08630432188510895","0.08630432188510895","0.08630432188510895"
"10950","0.08684175461530685","0.08684175461530685","0.08684175461530685"
"11000","0.08911161869764328","0.08911161869764328","0.08911161869764328"
"11050","0.08936803787946701","0.08936803787946701","0.08936803787946701"
"11100","0.0865873247385025","0.0865873247385025","0.0865873247385025"
"11150","0.08529937267303467","0.08529937267303467","0.08529937267303467"
"11200","0.08701596409082413","0.08701596409082413","0.08701596409082413"
"11250","0.08377791941165924","0.08377791941165924","0.08377791941165924"
"11300","0.08647707104682922","0.08647707104682922","0.08647707104682922"
"11350","0.08863446861505508","0.08863446861505508","0.08863446861505508"
"11400","0.08820874243974686","0.08820874243974686","0.08820874243974686"
"11450","0.08194287866353989","0.08194287866353989","0.08194287866353989"
"11500","0.0855720192193985","0.0855720192193985","0.0855720192193985"
"11550","0.08546050637960434","0.08546050637960434","0.08546050637960434"
"11600","0.08177930861711502","0.08177930861711502","0.08177930861711502"
"11650","0.08478578180074692","0.08478578180074692","0.08478578180074692"
"11700","0.08504871279001236","0.08504871279001236","0.08504871279001236"
"11750","0.0840994268655777","0.0840994268655777","0.0840994268655777"
"11800","0.0819910541176796","0.0819910541176796","0.0819910541176796"
"11850","0.0863945260643959","0.0863945260643959","0.0863945260643959"
"11900","0.08089067041873932","0.08089067041873932","0.08089067041873932"
"11950","0.08712521940469742","0.08712521940469742","0.08712521940469742"
"12000","0.08581161499023438","0.08581161499023438","0.08581161499023438"
"12050","0.08404073864221573","0.08404073864221573","0.08404073864221573"
"12100","0.08562500029802322","0.08562500029802322","0.08562500029802322"
"12150","0.08690381795167923","0.08690381795167923","0.08690381795167923"
"12200","0.08568605035543442","0.08568605035543442","0.08568605035543442"
"12250","0.08421915024518967","0.08421915024518967","0.08421915024518967"
"12300","0.0851096361875534","0.0851096361875534","0.0851096361875534"
"12350","0.08551948517560959","0.08551948517560959","0.08551948517560959"
"12400","0.08398720622062683","0.08398720622062683","0.08398720622062683"
"12450","0.08479753136634827","0.08479753136634827","0.08479753136634827"
"12500","0.08191387355327606","0.08191387355327606","0.08191387355327606"
"12550","0.08220309764146805","0.08220309764146805","0.08220309764146805"
"12600","0.08212533593177795","0.08212533593177795","0.08212533593177795"
"12650","0.08581624925136566","0.08581624925136566","0.08581624925136566"
"12700","0.08557198941707611","0.08557198941707611","0.08557198941707611"
"12750","0.08339275419712067","0.08339275419712067","0.08339275419712067"
"12800","0.08411220461130142","0.08411220461130142","0.08411220461130142"
"12850","0.08556399494409561","0.08556399494409561","0.08556399494409561"
"12900","0.0823885127902031","0.0823885127902031","0.0823885127902031"
"12950","0.08305124938488007","0.08305124938488007","0.08305124938488007"
"13000","0.08328110724687576","0.08328110724687576","0.08328110724687576"
"13050","0.08171889930963516","0.08171889930963516","0.08171889930963516"
"13100","0.08199400454759598","0.08199400454759598","0.08199400454759598"
"13150","0.08016637712717056","0.08016637712717056","0.08016637712717056"
"13200","0.08246702700853348","0.08246702700853348","0.08246702700853348"
"13250","0.08059396594762802","0.08059396594762802","0.08059396594762802"
"13300","0.08229842782020569","0.08229842782020569","0.08229842782020569"
"13350","0.08273870497941971","0.08273870497941971","0.08273870497941971"
"13400","0.082133948802948","0.082133948802948","0.082133948802948"
"13450","0.08182819187641144","0.08182819187641144","0.08182819187641144"
"13500","0.0807601734995842","0.0807601734995842","0.0807601734995842"
"13550","0.08205337077379227","0.08205337077379227","0.08205337077379227"
"13600","0.08210833370685577","0.08210833370685577","0.08210833370685577"
"13650","0.08205687999725342","0.08205687999725342","0.08205687999725342"
"13700","0.08153365552425385","0.08153365552425385","0.08153365552425385"
"13750","0.08157726377248764","0.08157726377248764","0.08157726377248764"
"13800","0.08147638291120529","0.08147638291120529","0.08147638291120529"
"13850","0.07924224436283112","0.07924224436283112","0.07924224436283112"
"13900","0.0795680582523346","0.0795680582523346","0.0795680582523346"
"13950","0.07917289435863495","0.07917289435863495","0.07917289435863495"
"14000","0.08189427852630615","0.08189427852630615","0.08189427852630615"
"14050","0.08045193552970886","0.08045193552970886","0.08045193552970886"
"14100","0.08127270638942719","0.08127270638942719","0.08127270638942719"
"14150","0.08047439157962799","0.08047439157962799","0.08047439157962799"
"14200","0.08027154952287674","0.08027154952287674","0.08027154952287674"
"14250","0.08300916850566864","0.08300916850566864","0.08300916850566864"
"14300","0.08152206242084503","0.08152206242084503","0.08152206242084503"
"14350","0.08044402301311493","0.08044402301311493","0.08044402301311493"
"14400","0.08196956664323807","0.08196956664323807","0.08196956664323807"
"14450","0.08071672171354294","0.08071672171354294","0.08071672171354294"
"14500","0.08180829882621765","0.08180829882621765","0.08180829882621765"
"14550","0.08094039559364319","0.08094039559364319","0.08094039559364319"
"14600","0.08183923363685608","0.08183923363685608","0.08183923363685608"
"14650","0.0802425742149353","0.0802425742149353","0.0802425742149353"
"14700","0.08284415304660797","0.08284415304660797","0.08284415304660797"
"14750","0.08008340001106262","0.08008340001106262","0.08008340001106262"
"14800","0.08109147101640701","0.08109147101640701","0.08109147101640701"
"14850","0.08251003921031952","0.08251003921031952","0.08251003921031952"
"14900","0.08110291510820389","0.08110291510820389","0.08110291510820389"
"14950","0.07999256998300552","0.07999256998300552","0.07999256998300552"